"","x","y","good"
"1",8.8,-3.3398788829869,1
"2",9.5,-3.53598792096496,1
"3",10.1,-3.68179792079685,1
"4",9.9,-3.5366772771002,1
"5",9.9,-3.5366772771002,1
"6",10.1,-3.68179792079685,1
"7",9.6,-3.60822462613196,1
"8",8.8,-3.3398788829869,1
"9",9.5,-3.53598792096496,1
"10",11,-3.8754483541133,1
"11",12,-3.89194881370173,0
"12",9.7,-3.73766011832849,0
"13",10.8,-3.91710255117144,0
"14",12.4,-3.66851353451627,1
"15",9.7,-3.68979987757368,0
"16",11.4,-4.00852274581253,1
"17",9.6,-3.59774749395541,1
"18",12.8,-3.67055067056199,1
"19",11.3,-4.00553506615131,1
"20",9.5,-3.58740523232299,0
"21",12.8,-3.67055067056199,1
"22",11,-3.95240704031117,1
"23",10.5,-3.76662633033759,1
"24",9.3,-3.19921745634283,0
"25",10,-3.63464827154921,1
"26",10.4,-3.79045431478469,1
"27",10,-3.63464827154921,1
"28",10.5,-3.73975310323155,1
"29",11.6,-3.80239254895667,1
"30",12.3,-3.80881046501832,1
"31",10,-3.73060318841266,1
"32",10.2,-3.80089125542674,1
"33",10.8,-3.78448034283667,1
"34",9,-3.41052323254354,1
"35",10.2,-3.77709731861702,0
"36",12.8,-3.14389204586909,0
"37",10,-3.64703518549395,0
"38",11.2,-3.75038241655859,1
"39",8.6,-3.17151399774695,0
"40",8.6,-3.17151399774695,0
"41",9.4,-2.10763613184197,1
"42",9.4,-2.09769974077946,1
"43",9.8,-3.37404872420607,1
"44",9.5,-3.44800435465585,1
"45",9.5,-3.41356352824972,1
"46",10,-3.55847510559958,1
"47",9.8,-3.45087848159702,0
"48",9.8,-3.41265298727313,0
"49",9.8,-3.37404872420607,1
"50",9.8,-3.39982254718034,0
"51",11.7,-3.5825637787664,1
"52",11,-3.53127654580484,1
"53",10.9,-3.69054540103322,1
"54",10.9,-3.85856518032832,1
"55",9.1,-2.33489089097596,1
"56",11,-3.93999537638418,1
"57",9.6,-3.62877522493317,1
"58",8.9,-3.35009986243731,1
"59",10.2,-3.77709731861702,1
"60",9.9,-3.76924775256418,1
"61",8.6,-2.83408900199942,1
"62",8.9,-3.35009986243731,1
"63",10.5,-3.93978396642188,0
"64",10.2,-3.77709731861702,1
"65",10.3,-3.86844908892101,1
"66",9.1,-3.25831107303247,0
"67",12.6,-3.64847994882969,1
"68",9.8,-3.70942880653994,0
"69",10.7,-3.83051958050631,1
"70",9.5,-3.52534437440504,0
"71",9,-3.30973371749564,1
